"OrderID,Date,Category,Quantity,UnitPrice,Region,UserID"
"ORD-1001,03.01.2025,Електроніка,1,12500.00,Київська обл.,USR-582"
"ORD-1002,05.01.2025,Одяг,2,1200.00,Львівська обл.,USR-104"
"ORD-1003,08.01.2025,Дім і сад,1,4500.00,Одеська обл.,USR-319"
"ORD-1004,11.01.2025,Електроніка,3,850.00,Дніпропетровська обл.,USR-741"
"ORD-1005,14.01.2025,Косметика,5,350.00,Харківська обл.,USR-225"
"ORD-1006,17.01.2025,Одяг,1,2500.00,Київська обл.,USR-903"
"ORD-1007,20.01.2025,Спорт,2,1800.00,Вінницька обл.,USR-412"
"ORD-1008,23.01.2025,Дім і сад,4,600.00,Полтавська обл.,USR-118"
"ORD-1009,26.01.2025,Електроніка,1,18000.00,Київська обл.,USR-654"
"ORD-1010,29.01.2025,Дитячі товари,2,950.00,Запорізька обл.,USR-870"
"ORD-1011,01.02.2025,Косметика,3,450.00,Одеська обл.,USR-319"
"ORD-1012,04.02.2025,Одяг,4,800.00,Івано-Франківська обл.,USR-502"
"ORD-1013,07.02.2025,Дім і сад,1,12000.00,Львівська обл.,USR-139"
"ORD-1014,10.02.2025,Електроніка,2,3200.00,Київська обл.,USR-284"
"ORD-1015,13.02.2025,Спорт,1,5400.00,Дніпропетровська обл.,USR-701"
"ORD-1016,16.02.2025,Дитячі товари,5,300.00,Чернігівська обл.,USR-994"
"ORD-1017,19.02.2025,Одяг,2,1500.00,Харківська обл.,USR-613"
"ORD-1018,22.02.2025,Косметика,1,1100.00,Київська обл.,USR-441"
"ORD-1019,25.02.2025,Електроніка,1,22000.00,Одеська обл.,USR-805"
"ORD-1020,28.02.2025,Дім і сад,3,900.00,Львівська обл.,USR-104"
"ORD-1021,03.03.2025,Спорт,2,2100.00,Житомирська обл.,USR-336"
"ORD-1022,06.03.2025,Одяг,3,1200.00,Київська обл.,USR-582"
"ORD-1023,09.03.2025,Косметика,4,500.00,Сумська обл.,USR-157"
"ORD-1024,12.03.2025,Електроніка,1,15000.00,Дніпропетровська обл.,USR-741"
"ORD-1025,15.03.2025,Дитячі товари,2,700.00,Закарпатська обл.,USR-490"
"ORD-1026,18.03.2025,Дім і сад,1,8500.00,Київська обл.,USR-903"
"ORD-1027,21.03.2025,Одяг,5,600.00,Миколаївська обл.,USR-211"
"ORD-1028,24.03.2025,Спорт,1,3900.00,Хмельницька обл.,USR-604"
"ORD-1029,27.03.2025,Електроніка,2,4500.00,Львівська обл.,USR-139"
"ORD-1030,30.03.2025,Косметика,3,380.00,Чернівецька обл.,USR-755"
"ORD-1031,02.04.2025,Дитячі товари,1,1200.00,Київська обл.,USR-441"
"ORD-1032,05.04.2025,Дім і сад,2,3200.00,Рівненська обл.,USR-820"
"ORD-1033,08.04.2025,Одяг,1,3100.00,Одеська обл.,USR-805"
"ORD-1034,11.04.2025,Електроніка,1,28000.00,Київська обл.,USR-654"
"ORD-1035,14.04.2025,Косметика,6,200.00,Дніпропетровська обл.,USR-701"
"ORD-1036,17.04.2025,Спорт,3,1500.00,Волинська обл.,USR-169"
"ORD-1037,20.04.2025,Дитячі товари,2,850.00,Тернопільська обл.,USR-303"
"ORD-1038,23.04.2025,Дім і сад,1,7500.00,Київська обл.,USR-284"
"ORD-1039,26.04.2025,Одяг,4,950.00,Черкаська обл.,USR-912"
"ORD-1040,29.04.2025,Електроніка,2,6200.00,Львівська обл.,USR-104"
"ORD-1041,02.05.2025,Косметика,2,750.00,Кіровоградська обл.,USR-550"
"ORD-1042,05.05.2025,Спорт,1,8900.00,Київська обл.,USR-582"
"ORD-1043,08.05.2025,Дитячі товари,4,400.00,Полтавська обл.,USR-118"
"ORD-1044,11.05.2025,Одяг,1,4500.00,Харківська обл.,USR-225"
"ORD-1045,14.05.2025,Дім і сад,3,1400.00,Одеська обл.,USR-319"
"ORD-1046,17.05.2025,Електроніка,1,19500.00,Дніпропетровська обл.,USR-741"
"ORD-1047,20.05.2025,Косметика,5,300.00,Київська обл.,USR-903"
"ORD-1048,23.05.2025,Дитячі товари,3,1100.00,Сумська обл.,USR-157"
"ORD-1049,26.05.2025,Спорт,2,2700.00,Вінницька обл.,USR-412"
"ORD-1050,29.05.2025,Дім і сад,1,5500.00,Львівська обл.,USR-139"
"ORD-1051,01.06.2025,Електроніка,1,34000.00,Київська обл.,USR-654"
"ORD-1052,04.06.2025,Одяг,2,1600.00,Харківська обл.,USR-613"
